book	chapter	verse	latin_incipit	english_translation
2Chr	1	1		Synopsis: Solomon goes to Gibeon where the bronze altar of holocausts stands, to offer a thousand victims. Lapide notes the altar was of brass; for the altar of incense was of gold. Solomon sought the Lord there before Jerusalem became the sole place of worship.
2Chr	1	5		Lapide: \"REQUISIVIT — going to Gibeon where the brass altar stood, that he might offer thereon a thousand victims.\" Solomon's going up to Gibeon is interpreted as a solemn act of homage to God before undertaking the great work of the Temple.
2Chr	1	10		Solomon's prayer: \"That I may go out and come in before this people\" — Lapide explains: \"as a king I may lead the people and bring them back wherever need requires, as a shepherd leads sheep to pasture and returns them to the fold at evening.\" The king as shepherd of souls.
2Chr	1	11		Lapide notes that God granted Solomon wisdom because he sought not riches or power but the wisdom to govern: a lesson to all rulers that piety draws down divine gifts.
2Chr	2	10		THAT I MAY GO OUT AND COME IN BEFORE THE PEOPLE — Lapide: the king as shepherd who leads the people wherever duty calls, going before them as Moses went before Israel.
2Chr	3	1		IN MONTE MORIA — Lapide: \"on which Abraham once offered his son Isaac to God (Gen 22:14); and on the same mount Christ, the antitype, offered Himself as a holocaust to God for the salvation of the world. For Mount Calvary is a part or appendage of Mount Moria.\" The Temple stands where sacrifice first prefigured the Cross.
2Chr	3	5		DOMUM MAJOREM (the Holy Place as distinct from the Holy of Holies): Lapide explains that Salomon covered it with boards of fir, but with cedar wainscoting interwoven, as III Kings vi:9 states. Every detail of the Temple materials had symbolic weight.
2Chr	3	7		AURUM PARUAIM — Lapide discusses at length the identification of Ophir and Paruaim with regions in the East Indies, refuting those who identify Peru with Ophir, arguing instead for Pegu and Sumatra, citing Joseph Acosta (who lived 15 years in Peru) and noting that the name Peru was unknown to its indigenous inhabitants.
2Chr	4	2		FUNICULUS TRIGINTA CUBITORUM — the cord of 30 cubits circumference for the molten sea: Lapide notes this equals three times the diameter of ten cubits, a classical observation about the ratio of circumference to diameter.
2Chr	4	9		ATRIUM SACERDOTUM ET BASILICAM GRANDEM (the great court for the people) — Lapide: the Hebrew azara means 'help,' because the people there invoked God's aid. He compares the court to pagan asylum traditions (Diana's temple at Ephesus freed slaves) and traces 'asylum' from the Hebrew azer.
